Perturbation,Severity,RF F1,RF IoU,Best F1,Best IoU
Noise,clean,0.9254 ± 0.0522,0.8655 ± 0.0898,0.9269 ± 0.0530,0.8682 ± 0.0907
Blur,clean,0.9254 ± 0.0522,0.8655 ± 0.0898,0.9269 ± 0.0530,0.8682 ± 0.0907
Dark,clean,0.9254 ± 0.0522,0.8655 ± 0.0898,0.9269 ± 0.0530,0.8682 ± 0.0907
Noise,light,0.7972 ± 0.1293,0.6806 ± 0.1671,0.8265 ± 0.1136,0.7194 ± 0.1568
Blur,light,0.9268 ± 0.0508,0.8678 ± 0.0876,0.9276 ± 0.0520,0.8693 ± 0.0891
Dark,light,0.9189 ± 0.0699,0.8572 ± 0.1137,0.9190 ± 0.0720,0.8579 ± 0.1165
Noise,medium,0.5000 ± 0.1745,0.3514 ± 0.1572,0.5878 ± 0.1566,0.4326 ± 0.1489
Blur,medium,0.9254 ± 0.0516,0.8654 ± 0.0888,0.9265 ± 0.0525,0.8674 ± 0.0898
Dark,medium,0.8961 ± 0.1011,0.8259 ± 0.1548,0.8941 ± 0.1040,0.8233 ± 0.1584
Noise,severe,0.3529 ± 0.1773,0.2294 ± 0.1418,0.4199 ± 0.1683,0.2806 ± 0.1400
Blur,severe,0.9222 ± 0.0536,0.8601 ± 0.0916,0.9235 ± 0.0540,0.8625 ± 0.0920
Dark,severe,0.8396 ± 0.1385,0.7468 ± 0.1964,0.8339 ± 0.1406,0.7390 ± 0.1982
